source_url,row_count,traceability_status,attempted_url,final_url,http_status,content_type,status,local_path,sha256,size_bytes,retrieved_at,notes
https://nmr.nd.edu/assets/432368/bruker_nmr_training_g.1.pdf,1,open,https://nmr.nd.edu/assets/432368/bruker_nmr_training_g.1.pdf,https://nmr.nd.edu/assets/432368/bruker_nmr_training_g.1.pdf,,application/pdf,downloaded,artifacts\pdf_source_backups_20260725\files\045_nmr.nd.edu_298a5e0871_bruker_nmr_training_g.1.pdf,704c4075b69c0af700eea1cba3ecc3dd7342073152ecc0b9d1c4818816ebb089,451808,2026-07-25T14:52:58.289482+00:00,validated_pdf_magic_from_local_backup_index
https://reagent.bjmu.edu.cn/file/20230414134400495_%E5%AE%9E%E9%AA%8C%E5%AE%A4%E5%AE%89%E5%85%A8%E6%89%8B%E5%86%8C%E5%8D%B0%E5%88%B7%E7%89%8820210610.pdf,1,open,https://reagent.bjmu.edu.cn/file/20230414134400495_%E5%AE%9E%E9%AA%8C%E5%AE%A4%E5%AE%89%E5%85%A8%E6%89%8B%E5%86%8C%E5%8D%B0%E5%88%B7%E7%89%8820210610.pdf,https://reagent.bjmu.edu.cn/file/20230414134400495_%E5%AE%9E%E9%AA%8C%E5%AE%A4%E5%AE%89%E5%85%A8%E6%89%8B%E5%86%8C%E5%8D%B0%E5%88%B7%E7%89%8820210610.pdf,,application/pdf,downloaded,artifacts\pdf_source_backups_20260725\files\046_reagent.bjmu.edu.cn_f653362bef_20230414134400495__20210610.pdf,5d69bf7f9f751350296ccc455c93fdd8295c2cd498dfa06a7ec973ac59a1395f,1728047,2026-07-25T14:52:58.289482+00:00,validated_pdf_magic_from_local_backup_index
https://sciex.com/content/dam/SCIEX/pdf/customer-docs/user-guide/safety-practices-guide-en.pdf,2,open,https://sciex.com/content/dam/SCIEX/pdf/customer-docs/user-guide/safety-practices-guide-en.pdf,https://sciex.com/content/dam/SCIEX/pdf/customer-docs/user-guide/safety-practices-guide-en.pdf,,application/pdf,downloaded,artifacts\pdf_source_backups_20260725\files\024_sciex.com_33d2d94ccf_safety-practices-guide-en.pdf,52ef8a9f28eac5fa26b5f5f22023151929b0396b64e574f817e1f0446891e93c,392516,2026-07-25T14:52:58.289482+00:00,validated_pdf_magic_from_local_backup_index
https://smse.seu.edu.cn/_upload/article/2f/f2/c82ef33b4b0fa7e37d28e6e784be/e1702a0e-d3c7-4843-9d57-8a4c24093f9d.pdf,3,open,https://smse.seu.edu.cn/_upload/article/2f/f2/c82ef33b4b0fa7e37d28e6e784be/e1702a0e-d3c7-4843-9d57-8a4c24093f9d.pdf,https://smse.seu.edu.cn/_upload/article/2f/f2/c82ef33b4b0fa7e37d28e6e784be/e1702a0e-d3c7-4843-9d57-8a4c24093f9d.pdf,,application/pdf,downloaded,artifacts\pdf_source_backups_20260725\files\017_smse.seu.edu.cn_eebd584c1f_e1702a0e-d3c7-4843-9d57-8a4c24093f9d.pdf,9c8ac8fc3fb200a22947f54588fd2427963679f812de2a43858c9dd55a9c712f,9848148,2026-07-25T14:52:58.289482+00:00,validated_pdf_magic_from_local_backup_index
https://tuttnauer.com/sites/default/files/2021-10/Manual-Autoclaves-Cleaning_Weekly.pdf,1,open,https://tuttnauer.com/sites/default/files/2021-10/Manual-Autoclaves-Cleaning_Weekly.pdf,https://tuttnauer.com/sites/default/files/2021-10/Manual-Autoclaves-Cleaning_Weekly.pdf,,application/pdf,downloaded,artifacts\pdf_source_backups_20260725\files\048_tuttnauer.com_6017cb28d4_Manual-Autoclaves-Cleaning_Weekly.pdf,b65325e4908aa6b931d4240452a652a2ecfb049fc228d874a2f471d4aece0038,1646457,2026-07-25T14:52:58.289482+00:00,validated_pdf_magic_from_local_backup_index
https://www-pub.iaea.org/MTCD/Publications/PDF/Pub1578_web-57265295.pdf,6,open,https://www-pub.iaea.org/MTCD/Publications/PDF/Pub1578_web-57265295.pdf,https://www-pub.iaea.org/MTCD/Publications/PDF/Pub1578_web-57265295.pdf,,application/pdf,downloaded,artifacts\pdf_source_backups_20260725\files\007_www-pub.iaea.org_e0b1124559_Pub1578_web-57265295.pdf,9ed93bb924b9f89e536bb0cd6a3a44d82c683f7ea4227f19801bb5acfa3ebb4e,1735533,2026-07-25T14:52:58.289482+00:00,validated_pdf_magic_from_local_backup_index
https://www.acs.org/content/dam/acsorg/about/governance/committees/chemicalsafety/academic-safety-culture-report.pdf,1,open,https://www.acs.org/content/dam/acsorg/about/governance/committees/chemicalsafety/academic-safety-culture-report.pdf,https://www.acs.org/content/dam/acsorg/about/governance/committees/chemicalsafety/academic-safety-culture-report.pdf,,application/pdf,downloaded,artifacts\pdf_source_backups_20260725\files\sslfix_016_www.acs.org_7885fdc906_academic-safety-culture-report.pdf,f1e0e386c7a6e216a19a654a0e6c6af01ca1dbf97081a252458930205f1242e6,1088353,2026-07-25T14:52:58.289482+00:00,validated_pdf_magic_from_local_backup_index
https://www.agilent.com/cs/library/brochures/Getting_your_HPLC_Back_up_and_running_flyer.pdf,1,network_error,https://www.agilent.com/cs/library/brochures/Getting_your_HPLC_Back_up_and_running_flyer.pdf,https://www.agilent.com/cs/library/brochures/Getting_your_HPLC_Back_up_and_running_flyer.pdf,,application/pdf,downloaded,artifacts\pdf_source_backups_20260725\files\005_www.agilent.com_2e85fcbdda_Getting_your_HPLC_Back_up_and_running_flyer.pdf,a8d33d8319de9ab01e3fc815cb433dc2866adf9037244c3caad854a664833833,211765,2026-07-25T14:52:58.289482+00:00,validated_pdf_magic_from_local_backup_index
https://www.agilent.com/cs/library/eseminars/public/gc-detector-design-troubleshooting-flame-ionization-fid-theory-basics-gas-flows-july212020.pdf,1,network_error,https://www.agilent.com/cs/library/eseminars/public/gc-detector-design-troubleshooting-flame-ionization-fid-theory-basics-gas-flows-july212020.pdf,https://www.agilent.com/cs/library/eseminars/public/gc-detector-design-troubleshooting-flame-ionization-fid-theory-basics-gas-flows-july212020.pdf,,application/pdf,downloaded,artifacts\pdf_source_backups_20260725\files\006_www.agilent.com_84a914f168_gc-detector-design-troubleshooting-flame-ionization-fid-theory-basics-gas-flows-july212020.pdf,7c09f0f11ad799c0cb598dacaea76b7ddb349d5dcc316c0ac958f89f849a1293,1630070,2026-07-25T14:52:58.289482+00:00,validated_pdf_magic_from_local_backup_index
https://www.agilent.com/cs/library/primers/public/Best_Practice_LC_Operations.pdf,2,network_error,https://www.agilent.com/cs/library/primers/public/Best_Practice_LC_Operations.pdf,https://www.agilent.com/cs/library/primers/public/Best_Practice_LC_Operations.pdf,,application/pdf,downloaded,artifacts\pdf_source_backups_20260725\files\002_www.agilent.com_e78975e008_Best_Practice_LC_Operations.pdf,57affb750a959a956bd1455dbc8840ee7b711a1f8b67ff3ca3f8f70d0d7a74dc,8929577,2026-07-25T14:52:58.289482+00:00,validated_pdf_magic_from_local_backup_index
