captured_at,health_status,health_ok,dify_reachable,meta_status,knowledge_base_rows,knowledge_base_imported,knowledge_base_chunked,knowledge_base_external,stats_status,recent_count,recent_avg_ms,recent_p50_ms,recent_p95_ms,recent_max_ms,recent_cache_hit_rate,runtime_started_at,runtime_pid,runtime_url,dify_host
2026-07-13T21:55:51,200,True,True,200,3009,3009,3164,1159,200,0,0.0,0.0,0.0,0.0,0.0,2026-07-13T21:55:49,34060,http://127.0.0.1:8088,http://127.0.0.1:8080
2026-07-14T08:59:03,200,True,True,200,3009,3009,3164,1159,200,0,0.0,0.0,0.0,0.0,0.0,2026-07-14T08:59:00,31524,http://127.0.0.1:8088,http://127.0.0.1:8080
2026-07-15T08:45:12,200,True,True,200,3009,3009,3164,1159,200,0,0.0,0.0,0.0,0.0,0.0,2026-07-15T08:45:09,33512,http://127.0.0.1:8088,http://127.0.0.1:8080
2026-07-15T08:51:23,200,True,True,200,3009,3009,3164,1159,200,0,0.0,0.0,0.0,0.0,0.0,2026-07-15T08:45:09,33512,http://127.0.0.1:8088,http://127.0.0.1:8080
2026-07-16T09:05:42,200,True,True,200,3009,3009,3164,1159,200,0,0.0,0.0,0.0,0.0,0.0,2026-07-16T09:05:40,32728,http://127.0.0.1:8088,http://127.0.0.1:8080
2026-07-16T09:13:28,200,True,True,200,3009,3009,3164,1159,200,0,0.0,0.0,0.0,0.0,0.0,2026-07-16T09:05:40,32728,http://127.0.0.1:8088,http://127.0.0.1:8080
2026-07-16T21:08:35,200,True,True,200,3009,3009,3164,1159,200,0,0.0,0.0,0.0,0.0,0.0,2026-07-16T21:08:32,30020,http://127.0.0.1:8088,http://127.0.0.1:8080
2026-07-17T16:50:29,200,True,True,200,3009,3009,3164,1159,200,0,0.0,0.0,0.0,0.0,0.0,2026-07-17T16:50:26,19704,http://127.0.0.1:8088,http://127.0.0.1:8080
2026-07-18T09:00:41,200,True,True,200,3009,3009,3164,1159,200,0,0.0,0.0,0.0,0.0,0.0,2026-07-18T09:00:38,11008,http://127.0.0.1:8088,http://127.0.0.1:8080
2026-07-18T09:01:41,200,True,True,200,3009,3009,3164,1159,200,0,0.0,0.0,0.0,0.0,0.0,2026-07-18T09:00:38,11008,http://127.0.0.1:8088,http://127.0.0.1:8080
2026-07-18T20:46:51,200,True,True,200,3009,3009,3164,1159,200,0,0.0,0.0,0.0,0.0,0.0,2026-07-18T20:46:49,30016,http://127.0.0.1:8088,http://127.0.0.1:8080
2026-07-19T09:06:29,200,True,True,200,3009,3009,3164,1159,200,0,0.0,0.0,0.0,0.0,0.0,2026-07-19T09:06:27,32320,http://127.0.0.1:8088,http://127.0.0.1:8080
2026-07-20T10:54:10,200,True,True,200,3009,3009,3164,1159,200,0,0.0,0.0,0.0,0.0,0.0,2026-07-20T10:54:07,4152,http://127.0.0.1:8088,http://127.0.0.1:8080
2026-07-21T10:35:49,200,True,True,200,3009,3009,3164,1159,200,0,0.0,0.0,0.0,0.0,0.0,2026-07-21T10:35:47,22432,http://127.0.0.1:8088,http://127.0.0.1:8080
2026-07-21T10:44:25,200,True,True,200,3009,3009,3164,1159,200,0,0.0,0.0,0.0,0.0,0.0,2026-07-21T10:35:47,22432,http://127.0.0.1:8088,http://127.0.0.1:8080
2026-07-22T20:31:21,200,True,True,200,3009,3009,3164,1159,200,0,0.0,0.0,0.0,0.0,0.0,2026-07-22T20:31:18,32480,http://127.0.0.1:8088,http://127.0.0.1:8080
2026-07-22T20:34:20,200,True,True,200,3009,3009,3164,1159,200,0,0.0,0.0,0.0,0.0,0.0,2026-07-22T20:31:18,32480,http://127.0.0.1:8088,http://127.0.0.1:8080
2026-07-23T09:06:21,200,True,True,200,3009,3009,3164,1159,200,0,0.0,0.0,0.0,0.0,0.0,2026-07-23T09:06:18,31904,http://127.0.0.1:8088,http://127.0.0.1:8080
2026-07-24T11:05:33,200,True,True,200,3009,3009,3164,1159,200,0,0.0,0.0,0.0,0.0,0.0,2026-07-24T11:05:31,28012,http://127.0.0.1:8088,http://127.0.0.1:8080
2026-07-25T09:02:16,200,True,True,200,3009,3009,3164,1159,200,0,0.0,0.0,0.0,0.0,0.0,2026-07-25T09:02:13,31868,http://127.0.0.1:8088,http://127.0.0.1:8080
2026-07-26T22:13:15,200,True,True,200,3009,3009,3164,1159,200,0,0.0,0.0,0.0,0.0,0.0,2026-07-26T22:13:13,19596,http://127.0.0.1:8088,http://127.0.0.1:8080
2026-07-27T10:59:13,200,True,True,200,3009,3009,3164,1159,200,0,0.0,0.0,0.0,0.0,0.0,2026-07-27T10:59:10,33740,http://127.0.0.1:8088,http://127.0.0.1:8080
2026-07-27T11:05:03,200,True,True,200,3009,3009,3164,1159,200,0,0.0,0.0,0.0,0.0,0.0,2026-07-27T10:59:10,33740,http://127.0.0.1:8088,http://127.0.0.1:8080
2026-07-28T09:41:46,200,True,True,200,3009,3009,3164,1159,200,0,0.0,0.0,0.0,0.0,0.0,2026-07-28T09:41:44,9484,http://127.0.0.1:8088,http://127.0.0.1:8080
2026-07-29T08:43:28,200,True,True,200,3009,3009,3164,1159,200,0,0.0,0.0,0.0,0.0,0.0,2026-07-29T08:43:25,31836,http://127.0.0.1:8088,http://127.0.0.1:8080
