run,file,size_bytes,magic_pdf,pages,parse_error,verdict
pdf_source_backups_20260728,032_www.osha.gov_7a7a562316_OSHA3909.pdf,407996,yes,32,,ok
pdf_source_backups_20260728,033_www.osha.gov_e5ec8ee891_OSHA3912.pdf,495817,yes,32,,ok
pdf_source_backups_20260728,034_www.osha.gov_8d6bfd6b9b_OSHA3918.pdf,677281,yes,40,,ok
pdf_source_backups_20260728,035_www.osha.gov_8cc6a0f103_OSHAfactsheet-laboratory-safety-chemical-hygiene-plan.pdf,402549,yes,2,,ok
pdf_source_backups_20260728,036_www.osha.gov_09280e99fa_OSHAfactsheet-metrics-in-psm.pdf,173738,yes,3,,ok
pdf_source_backups_20260728,037_www.osha.gov_cfefbcfc34_OSHAquickfacts-lab-safety-chemical-fume-hoods.pdf,83117,yes,2,,ok
pdf_source_backups_20260728,038_www.osha.gov_2032d037d3_OSHAquickfacts-lab-safety-labeling-chemical-transfer.pdf,465762,yes,2,,ok
pdf_source_backups_20260728,039_www.osha.gov_ffb1561212_highly-hazardous-chemicals-factsheet.pdf,63816,yes,2,,ok
pdf_source_backups_20260728,040_www.umb.edu.pl_8cb1297878_User_manual_Zetasizer.pdf,7235817,yes,250,,ok
pdf_source_backups_20260803,001_www.cdc.gov_586eec22a4_SF__19_308133-A_BMBL6_00-BOOK-WEB-final-3.pdf,4953083,yes,604,,ok
pdf_source_backups_20260803,002_ors.od.nih.gov_be7b971876_chemical-hygiene-plan.pdf,1750513,yes,102,,ok
pdf_source_backups_20260803,003_ehs.yale.edu_9b3d0cd530_laboratory-chemical-hygiene-plan.pdf,1175846,yes,69,,ok
pdf_source_backups_20260803,005_ors.od.nih.gov_be77175599_biosafety-in-microbiological-and-biomedical-laboratories.PDF,4559461,yes,604,,ok
pdf_source_backups_20260803,006_ors.od.nih.gov_204e155613_exposure-control-plan.pdf,416109,yes,16,,ok
pdf_source_backups_20260803,007_ors.od.nih.gov_d6b282148d_laser-safety-program.pdf,965515,yes,24,,ok
pdf_source_backups_20260803,008_ors.od.nih.gov_de0f29a5de_compressed-gas-and-cryogen-safety-guidelines-document.pdf,776401,yes,15,,ok
pdf_source_backups_20260803,009_ors.od.nih.gov_30c8fdbcd0_managing-pyrophoric-and-water-reactive-chemicals-in-the-laboratories.pdf,354828,yes,7,,ok
pdf_source_backups_20260803,010_ors.od.nih.gov_d13f376081_nih-dichloromethane-health-and-safety-plan.pdf,356312,yes,11,,ok
pdf_source_backups_20260803,011_ors.od.nih.gov_5f43c3a81b_chemical-segregation-and-storage.pdf,681833,yes,3,,ok
pdf_source_backups_20260803,012_ors.od.nih.gov_e645ac7e62_laboratory-coat-selection-guidance.pdf,162799,yes,9,,ok
pdf_source_backups_20260803,013_ors.od.nih.gov_146ebe2451_lab-specific-sop-template.pdf,363989,yes,9,,ok
pdf_source_backups_20260803,014_ors.od.nih.gov_5d6c4f3928_managing-peroxide-formers-in-the-lab.pdf,250972,yes,2,,ok
pdf_source_backups_20260803,015_ehs.yale.edu_057ec811be_ppe-procedure-labs.pdf,396978,yes,7,,ok
pdf_source_backups_20260803,016_ors.od.nih.gov_d1f33111b2_particularly-hazardous-substances-phs.pdf,322474,yes,3,,ok
pdf_source_backups_20260803,017_ehs.yale.edu_13b864d03b_chemicals-ehs-approval.pdf,214637,yes,10,,ok
pdf_source_backups_20260803,018_ehs.yale.edu_185995e918_gene-drive-modified-organisms.pdf,113148,yes,8,,ok
pdf_source_backups_20260803,019_ors.od.nih.gov_aaf1f5ea3c_how-to-safely-clean-cfh-web.pdf,145046,yes,2,,ok
pdf_source_backups_20260803,020_ors.od.nih.gov_33de27c38a_working-safely-with-dichloromethane.pdf,208763,yes,3,,ok
pdf_source_backups_20260803,021_ors.od.nih.gov_e3e9b4766d_exempt-toxin-program-requirements.pdf,162509,yes,3,,ok
pdf_source_backups_20260803,022_ors.od.nih.gov_f03fd68942_fact-sheet-on-chemical-storage-cabinets.pdf,253225,yes,2,,ok
pdf_source_backups_20260803,023_ors.od.nih.gov_57247385fd_inactivation-method-review-process.pdf,289223,yes,4,,ok
pdf_source_backups_20260803,025_ehs.yale.edu_0448ab9fe8_laser-sop.pdf,144569,yes,4,,ok
pdf_source_backups_20260803,026_ors.od.nih.gov_e7a31936b6_fact-sheet-on-compatible-chemical-storage.pdf,265345,yes,2,,ok
pdf_source_backups_20260803,027_ors.od.nih.gov_bfc3dafacb_occupational-exposure-limits-for-chemicals.pdf,37177,yes,1,,ok
pdf_source_backups_20260803,028_ehs.yale.edu_a87c5d206f_fume-hood-repair-notice.pdf,28026,yes,2,,ok
pdf_source_backups_20260803,029_ehs.yale.edu_fabd53fc78_student-shop-rules.pdf,144276,yes,1,,ok
pdf_source_backups_20260803,030_ehs.yale.edu_0d7ca6f993_waste-in-place.pdf,856073,yes,1,,ok
pdf_source_backups_20260803,031_ehs.yale.edu_85a2fd75c6_biosafety-cabinet-poster.pdf,2696804,yes,1,,ok
