source_url,row_count,traceability_status,attempted_url,final_url,http_status,content_type,status,backup_kind,local_path,sha256,size_bytes,retrieved_at,notes
https://www.osha.gov/sites/default/files/enforcement/directives/CPL_02-01-065.pdf,1,blocked_or_forbidden,https://web.archive.org/web/2id_/https://www.osha.gov/sites/default/files/enforcement/directives/CPL_02-01-065.pdf,https://web.archive.org/web/2id_/https://www.osha.gov/sites/default/files/enforcement/directives/CPL_02-01-065.pdf,,,downloaded,archive_replay,artifacts\pdf_source_backups_20260728\files\027_www.osha.gov_3279d35b66_CPL_02-01-065.pdf,5834cc8b89df5c059e93df1c06b73e52d3c5ce0cdd213c59cc63e8d21ce9b2a2,938667,2026-07-28T09:52:50.974562+00:00,validated_pdf_magic_from_raw_wayback_replay
https://www.osha.gov/sites/default/files/enforcement/directives/PUB_8-1_5.pdf,1,blocked_or_forbidden,https://web.archive.org/web/2id_/https://www.osha.gov/sites/default/files/enforcement/directives/PUB_8-1_5.pdf,https://web.archive.org/web/2id_/https://www.osha.gov/sites/default/files/enforcement/directives/PUB_8-1_5.pdf,,,downloaded,archive_replay,artifacts\pdf_source_backups_20260728\files\028_www.osha.gov_a07b6d0bab_PUB_8-1_5.pdf,04ee0b5ecb0c77f2a9f765195911d9b95e09cdbc73ee3c4d50c78d1c6206180e,3576486,2026-07-28T09:53:03.709263+00:00,validated_pdf_magic_from_raw_wayback_replay
https://www.osha.gov/sites/default/files/publications/OSHA3172.pdf,1,blocked_or_forbidden,https://web.archive.org/web/2id_/https://www.osha.gov/sites/default/files/publications/OSHA3172.pdf,https://web.archive.org/web/2id_/https://www.osha.gov/sites/default/files/publications/OSHA3172.pdf,,,downloaded,archive_replay,artifacts\pdf_source_backups_20260728\files\029_www.osha.gov_d5d6838aad_OSHA3172.pdf,083f0a50377e869899db6ce59f1f486e8cd9a3e2f2a3c7f563e44885b40dd9c7,5583324,2026-07-28T09:53:37.632805+00:00,validated_pdf_magic_from_raw_wayback_replay
https://www.osha.gov/sites/default/files/publications/OSHA3780.pdf,1,blocked_or_forbidden,https://web.archive.org/web/2id_/https://www.osha.gov/sites/default/files/publications/OSHA3780.pdf,https://web.archive.org/web/2id_/https://www.osha.gov/sites/default/files/publications/OSHA3780.pdf,,,downloaded,archive_replay,artifacts\pdf_source_backups_20260728\files\030_www.osha.gov_43ee38849b_OSHA3780.pdf,818b16a3f536982819a7728350498ee3ea9ffaf640e667587b8b1a77fc57a362,781817,2026-07-28T09:53:47.175480+00:00,validated_pdf_magic_from_raw_wayback_replay
https://www.osha.gov/sites/default/files/publications/OSHA3908.pdf,1,blocked_or_forbidden,https://web.archive.org/web/2id_/https://www.osha.gov/sites/default/files/publications/OSHA3908.pdf,https://web.archive.org/web/2id_/https://www.osha.gov/sites/default/files/publications/OSHA3908.pdf,,,downloaded,archive_replay,artifacts\pdf_source_backups_20260728\files\031_www.osha.gov_66790597ef_OSHA3908.pdf,80956688c73aa2204856247f5344f1e0b09d8e940407734a7c064c08053963f9,810731,2026-07-28T09:53:56.376824+00:00,validated_pdf_magic_from_raw_wayback_replay
https://www.osha.gov/sites/default/files/publications/OSHA3909.pdf,1,blocked_or_forbidden,https://web.archive.org/web/2id_/https://www.osha.gov/sites/default/files/publications/OSHA3909.pdf,https://web.archive.org/web/2id_/https://www.osha.gov/sites/default/files/publications/OSHA3909.pdf,,,downloaded,archive_replay,artifacts\pdf_source_backups_20260728\files\032_www.osha.gov_7a7a562316_OSHA3909.pdf,1bd6ba342dd3e3425184bcc492b3fea895334e3505c8591e2fcda82ea080f249,407996,2026-07-28T09:54:01.875635+00:00,validated_pdf_magic_from_raw_wayback_replay
https://www.osha.gov/sites/default/files/publications/OSHA3912.pdf,1,blocked_or_forbidden,https://web.archive.org/web/2id_/https://www.osha.gov/sites/default/files/publications/OSHA3912.pdf,https://web.archive.org/web/2id_/https://www.osha.gov/sites/default/files/publications/OSHA3912.pdf,,,downloaded,archive_replay,artifacts\pdf_source_backups_20260728\files\033_www.osha.gov_e5ec8ee891_OSHA3912.pdf,4aa8f341f0175e6096fafce0b8498557a49d59fff58d7694ca56b99d1d0f76fd,495817,2026-07-28T09:54:08.201947+00:00,validated_pdf_magic_from_raw_wayback_replay
https://www.osha.gov/sites/default/files/publications/OSHA3918.pdf,1,blocked_or_forbidden,https://web.archive.org/web/2id_/https://www.osha.gov/sites/default/files/publications/OSHA3918.pdf,https://web.archive.org/web/2id_/https://www.osha.gov/sites/default/files/publications/OSHA3918.pdf,,,downloaded,archive_replay,artifacts\pdf_source_backups_20260728\files\034_www.osha.gov_8d6bfd6b9b_OSHA3918.pdf,e3f68bcb90678b0c514e23f8239b79582556d0ff87ec38deb61e5ff08d8cf6c2,677281,2026-07-28T09:54:16.177244+00:00,validated_pdf_magic_from_raw_wayback_replay
https://www.osha.gov/sites/default/files/publications/OSHAfactsheet-laboratory-safety-chemical-hygiene-plan.pdf,1,blocked_or_forbidden,https://web.archive.org/web/2id_/https://www.osha.gov/sites/default/files/publications/OSHAfactsheet-laboratory-safety-chemical-hygiene-plan.pdf,https://web.archive.org/web/2id_/https://www.osha.gov/sites/default/files/publications/OSHAfactsheet-laboratory-safety-chemical-hygiene-plan.pdf,,,downloaded,archive_replay,artifacts\pdf_source_backups_20260728\files\035_www.osha.gov_8cc6a0f103_OSHAfactsheet-laboratory-safety-chemical-hygiene-plan.pdf,4501c9375e31808a264ab9e5dbf949340282eaed92584750f766720014940240,402549,2026-07-28T09:54:21.185587+00:00,validated_pdf_magic_from_raw_wayback_replay
https://www.osha.gov/sites/default/files/publications/OSHAfactsheet-metrics-in-psm.pdf,1,blocked_or_forbidden,https://web.archive.org/web/2id_/https://www.osha.gov/sites/default/files/publications/OSHA3896.pdf,https://web.archive.org/web/2id_/https://www.osha.gov/sites/default/files/publications/OSHA3896.pdf,200,application/pdf,downloaded,official_canonical_archive_replay,artifacts\pdf_source_backups_20260728\files\036_www.osha.gov_09280e99fa_OSHAfactsheet-metrics-in-psm.pdf,aa0cdf28fa2e07f0e5a89bc8900c8350ddc2fdddea5632b4b906ddf4f6f4c5af,173738,2026-07-28T10:11:44.968222+00:00,validated_pdf_magic; alternate provenance explicitly recorded
https://www.osha.gov/sites/default/files/publications/OSHAquickfacts-lab-safety-chemical-fume-hoods.pdf,1,blocked_or_forbidden,https://web.archive.org/web/2id_/https://www.osha.gov/sites/default/files/publications/OSHAquickfacts-lab-safety-chemical-fume-hoods.pdf,https://web.archive.org/web/2id_/https://www.osha.gov/sites/default/files/publications/OSHAquickfacts-lab-safety-chemical-fume-hoods.pdf,,application/pdf,downloaded,archive_replay,artifacts\pdf_source_backups_20260728\files\037_www.osha.gov_cfefbcfc34_OSHAquickfacts-lab-safety-chemical-fume-hoods.pdf,46334f520bcc98fc3dd6c89b4a00b06f3ad399dae2eb023003fbf8e49450666e,83117,2026-07-28T09:54:34.831221+00:00,validated_pdf_magic_from_raw_wayback_replay
https://www.osha.gov/sites/default/files/publications/OSHAquickfacts-lab-safety-labeling-chemical-transfer.pdf,1,blocked_or_forbidden,https://web.archive.org/web/2id_/https://www.osha.gov/sites/default/files/publications/OSHAQUICKFACTS-LAB-SAFETY-LABELING-CHEMICAL-TRANSFER.pdf,https://web.archive.org/web/2id_/https://www.osha.gov/sites/default/files/publications/OSHAQUICKFACTS-LAB-SAFETY-LABELING-CHEMICAL-TRANSFER.pdf,200,application/pdf,downloaded,official_canonical_archive_replay,artifacts\pdf_source_backups_20260728\files\038_www.osha.gov_2032d037d3_OSHAquickfacts-lab-safety-labeling-chemical-transfer.pdf,0d064b69f440b0b5c9d6a2bf40fd00eeccfceb8eb2e66a8bb6d1df2ff11c3d04,465762,2026-07-28T10:11:44.969027+00:00,validated_pdf_magic; alternate provenance explicitly recorded
https://www.osha.gov/sites/default/files/publications/highly-hazardous-chemicals-factsheet.pdf,1,blocked_or_forbidden,https://web.archive.org/web/20210319011317id_/https://www.osha.gov/sites/default/files/publications/highly-hazardous-chemicals-factsheet.pdf,https://web.archive.org/web/20210319011317id_/https://www.osha.gov/sites/default/files/publications/highly-hazardous-chemicals-factsheet.pdf,200,application/pdf,downloaded,archive_replay,artifacts\pdf_source_backups_20260728\files\039_www.osha.gov_ffb1561212_highly-hazardous-chemicals-factsheet.pdf,4f651719c45113aa9137605193312d3b5626ed0cbb0657d7f2a1489a55d109d1,63816,2026-07-28T10:11:44.969623+00:00,validated_pdf_magic; alternate provenance explicitly recorded
https://www.umb.edu.pl/photo/ftplib/Wydzialy/wnl/FTiA/ZnO/User%20manual%20Zetasizer.pdf,1,open,https://www.cif.iastate.edu/files/inline-files/Zetasizer%20Nano%20ZS%20User%20Manual.pdf,https://www.cif.iastate.edu/files/inline-files/Zetasizer%20Nano%20ZS%20User%20Manual.pdf,200,application/pdf,downloaded,institutional_mirror,artifacts\pdf_source_backups_20260728\files\040_www.umb.edu.pl_8cb1297878_User_manual_Zetasizer.pdf,ca6b322fc6b1371da74fd76fda1d8d849fd80c1c40b55f351fd5c91244444362,7235817,2026-07-28T10:11:44.977482+00:00,validated_pdf_magic; alternate provenance explicitly recorded
