"priority","traceability_status","http_status","affected_row_count","domain","source_orgs","sample_source_title","sample_ids","url","final_url","error","manual_result","manual_access_time","reviewer","evidence_note","recommended_action"
"P1","blocked_or_forbidden","403","1","www.osha.gov","U.S. Occupational Safety and Health Administration (OSHA)","Process Safety Management for Small Businesses (OSHA 3908)","KB-PHASE4-0031","https://www.osha.gov/sites/default/files/publications/OSHA3908.pdf","https://www.osha.gov/sites/default/files/publications/OSHA3908.pdf","","","","","",""
"P1","blocked_or_forbidden","403","1","www.osha.gov","U.S. Occupational Safety and Health Administration (OSHA)","Process Safety Management for Storage Facilities (OSHA 3909)","KB-PHASE4-0053","https://www.osha.gov/sites/default/files/publications/OSHA3909.pdf","https://www.osha.gov/sites/default/files/publications/OSHA3909.pdf","","","","","",""
"P1","blocked_or_forbidden","403","1","www.osha.gov","U.S. Occupational Safety and Health Administration (OSHA)","Process Safety Management for Explosives and Pyrotechnics Manufacturing (OSHA 3912)","KB-PHASE4-0052","https://www.osha.gov/sites/default/files/publications/OSHA3912.pdf","https://www.osha.gov/sites/default/files/publications/OSHA3912.pdf","","","","","",""
"P1","blocked_or_forbidden","403","1","www.osha.gov","U.S. Occupational Safety and Health Administration (OSHA)","Process Safety Management for Petroleum Refineries (OSHA 3918)","KB-PHASE4-0051","https://www.osha.gov/sites/default/files/publications/OSHA3918.pdf","https://www.osha.gov/sites/default/files/publications/OSHA3918.pdf","","","","","",""
"P1","blocked_or_forbidden","403","1","www.osha.gov","OSHA","1910.332 - Training","KB-RECO-0320","https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.332","https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.332","","","","","",""
"P1","blocked_or_forbidden","403","1","www.osha.gov","Occupational Safety and Health Administration (OSHA)","OSHA Poultry Processing - Dry Ice Hazards","KB-RECO-0170","https://www.osha.gov/poultry-processing/hazards-solutions","https://www.osha.gov/poultry-processing/hazards-solutions","","","","","",""
"P1","blocked_or_forbidden","403","1","www.osha.gov","OSHA","OSHA Permit-Required Confined Space Standard 1910.146","KB-PHASE4-0589","https://www.osha.gov/laws-regs/standardinterpretations/1993-08-11","https://www.osha.gov/laws-regs/standardinterpretations/1993-08-11","","","","","",""
"P1","blocked_or_forbidden","403","1","www.osha.gov","U.S. Occupational Safety and Health Administration (OSHA)","Highly Hazardous Chemicals as it applies to flammable liquid from a stationary tank","KB-PHASE4-0037","https://www.osha.gov/laws-regs/standardinterpretations/1994-03-16","https://www.osha.gov/laws-regs/standardinterpretations/1994-03-16","","","","","",""
"P1","blocked_or_forbidden","403","1","www.osha.gov","U.S. Occupational Safety and Health Administration (OSHA)","OSHA Guide: Cadmium (OSHA 3136)","KB-PHASE4-0021","https://www.osha.gov/publications/3136-08R-2003-English","https://www.osha.gov/publications/3136-08R-2003-English","","","","","",""
"P1","blocked_or_forbidden","403","1","www.osha.gov","Occupational Safety and Health Administration (OSHA)","Preventing Fire and/or Explosion Injury from Small Lithium Battery Devices","KB-RECO-0155","https://www.osha.gov/publications/bytopic/battery-manufacturing","https://www.osha.gov/publications/bytopic/battery-manufacturing","","","","","",""
"P1","blocked_or_forbidden","403","1","www.osha.gov","U.S. Occupational Safety and Health Administration","OSHA Accident Report UCSD Laser Eye Injury","KB-RECO-0300","https://www.osha.gov/ords/imis/accidentsearch.accident_detail?id=201060068","https://www.osha.gov/ords/imis/accidentsearch.accident_detail?id=201060068","","","","","",""
"P1","blocked_or_forbidden","403","1","www.osha.gov","U.S. Occupational Safety and Health Administration (OSHA)","Metalworking Fluids: Safety and Health Best Practices Manual","KB-PHASE4-0028","https://www.osha.gov/metalworking-fluids/manual","https://www.osha.gov/metalworking-fluids/manual","","","","","",""
"P1","blocked_or_forbidden","403","1","www.osha.gov","U.S. Occupational Safety and Health Administration (OSHA)","Fertilizer Industry Guidance on Storage and Use of Ammonium Nitrate","KB-PHASE4-0013","https://www.osha.gov/memos/2014-02-10/fertilizer-industry","https://www.osha.gov/memos/2014-02-10/fertilizer-industry","","","","","",""
"P1","blocked_or_forbidden","403","1","www.osha.gov","Occupational Safety and Health Administration (OSHA)","OSHA Standards - 29 CFR 1910.219","KB-RECO-0162","https://www.osha.gov/machine-guarding/standards","https://www.osha.gov/machine-guarding/standards","","","","","",""
"P1","blocked_or_forbidden","403","1","www.osha.gov","U.S. Occupational Safety and Health Administration (OSHA)","Classifying cloth-like wipes saturated with a hazardous solution under OSHA's Hazard Communication standard","KB-PHASE4-0038","https://www.osha.gov/laws-regs/standardinterpretations/2021-04-23","https://www.osha.gov/laws-regs/standardinterpretations/2021-04-23","","","","","",""
"P1","blocked_or_forbidden","403","1","www.osha.gov","U.S. Occupational Safety and Health Administration (OSHA)","HCS listing of occupational exposure limits (OELs) in section 8 on a safety data sheet","KB-PHASE4-0049","https://www.osha.gov/laws-regs/standardinterpretations/2021-03-30","https://www.osha.gov/laws-regs/standardinterpretations/2021-03-30","","","","","",""
"P1","blocked_or_forbidden","403","1","www.osha.gov","U.S. Occupational Safety and Health Administration (OSHA)","The Use of Open Containers in Transporting Corrosive Chemicals (HIB)","KB-PHASE4-0070","https://www.osha.gov/publications/hib19890523","https://www.osha.gov/publications/hib19890523","","","","","",""
"P1","blocked_or_forbidden","403","1","www.osha.gov","U.S. Occupational Safety and Health Administration (OSHA)","Clarification to the disclosure of chemical ingredients in SDS sections 3 and 8","KB-PHASE4-0035","https://www.osha.gov/laws-regs/standardinterpretations/2020-10-28","https://www.osha.gov/laws-regs/standardinterpretations/2020-10-28","","","","","",""
