url,traceability_status,http_status,row_count,source_orgs,sample_source_title,sample_ids,final_url,content_type,bytes_sampled,error
https://ors.od.nih.gov/sr/dohs/Documents/occupational-exposure-limits-for-chemicals.pdf,open,200,4,NIH Office of Research Services,NIH Occupational Exposure Limits for Chemicals,EXT-NIH-OEL-001-7891bdce97;EXT-NIH-OEL-002-fe68b1e84f;EXT-NIH-OEL-003-5bfd0a0336;EXT-NIH-OEL-004-073d74c68a,https://ors.od.nih.gov/sr/dohs/Documents/occupational-exposure-limits-for-chemicals.pdf,application/pdf,37177,
https://ors.od.nih.gov/sr/dohs/Documents/particularly-hazardous-substances-phs.pdf,open,200,9,NIH Office of Research Services,NIH Fact Sheet on Particularly Hazardous Substances,EXT-NIH-PHS-001-34d1691f41;EXT-NIH-PHS-002-071beeb41b;EXT-NIH-PHS-003-b2b90226f5;EXT-NIH-PHS-004-4ddf534094;EXT-NIH-PHS-005-171a06dcd6,https://ors.od.nih.gov/sr/dohs/Documents/particularly-hazardous-substances-phs.pdf,application/pdf,65536,
https://ors.od.nih.gov/sr/dohs/Documents/working-safely-with-dichloromethane.pdf,open,200,8,NIH Office of Research Services,NIH Working Safely with Dichloromethane,KB-MSDS-2009;EXT-NIH-DCM-001-3e21345a14;EXT-NIH-DCM-002-f99d30e56d;EXT-NIH-DCM-003-66dc9f7178;EXT-NIH-DCM-004-b13047b238,https://ors.od.nih.gov/sr/dohs/Documents/working-safely-with-dichloromethane.pdf,application/pdf,65536,
https://osp.od.nih.gov/biotechnology/nih-guidelines/,blocked_or_forbidden,403,2,NIH / CBD;National Institutes of Health,NIH Guidelines for Research Involving Recombinant DNA Molecules; Cartagena Protocol on Biosafety,KB-GAP-8030;KB-PHASE4-0791,https://osp.od.nih.gov/biotechnology/nih-guidelines/,text/html; charset=UTF-8,5727,"ConnectionError: HTTPSConnectionPool(host='osp.od.nih.gov', port=443): Read timed out."
https://osp.od.nih.gov/wp-content/uploads/NIH_Guidelines.pdf,blocked_or_forbidden,403,5,NIH,NIH Guidelines for Research Involving Recombinant or Synthetic Nucleic Acid Molecules,KB-RECO-0331;KB-RECO-0332;KB-RECO-0333;KB-RECO-0334;KB-RECO-0335,https://osp.od.nih.gov/wp-content/uploads/NIH_Guidelines.pdf,text/html; charset=UTF-8,0,"ConnectionError: HTTPSConnectionPool(host='osp.od.nih.gov', port=443): Read timed out."
https://physics.zju.edu.cn/2024/0326/c77289a2894887/page.psp,open,200,1,应急管理部,锂离子电池安全规范/危化品安全管理条例相关规定,KB-1015,https://physics.zju.edu.cn/2024/0326/c77289a2894887/page.psp,text/html;charset=UTF-8,2345,
https://policies.unc.edu/TDClient/2833/Portal/KB/ArticleDet?ID=131963,open,200,2,OSHA/UNC EHS;UNC EHS,Particularly Hazardous Substances - UNC EHS,KB-PHASE4-0307;KB-PHASE4-0312,https://policies.unc.edu/TDClient/2833/Portal/KB/Article/131963/Environment-Health-and-Safety-Manual-Chapter-05-09-Occupational-Safety-Policies-OSHA-Laboratory-Stan,text/html; charset=utf-8,63326,
https://policies.unc.edu/TDClient/2833/Portal/KB/ArticleDet?ID=132022,open,200,2,UNC EHS;UNC EHS/OSHA,Laboratory Safety Manual - Chapter 10: Fire Safety,KB-PHASE4-0297;KB-PHASE4-0298,https://policies.unc.edu/TDClient/2833/Portal/KB/Article/132022/Laboratory-Safety-Manual-Chapter-10-Fire-Safety,text/html; charset=utf-8,65536,
https://policies.unc.edu/TDClient/2833/Portal/KB/ArticleDet?ID=132032,open,200,1,OSHA/UNC EHS,Laboratory Safety Manual - Chapter 20: Formaldehyde Exposure Control Policy,KB-PHASE4-0281,https://policies.unc.edu/TDClient/2833/Portal/KB/Article/132032/Laboratory-Safety-Manual-Chapter-20-Formaldehyde-Exposure-Control-Policy,text/html; charset=utf-8,65536,
https://pubs.acs.org/doi/10.1016/j.jchas.2018.05.002,blocked_or_forbidden,403,1,American Chemical Society (Journal of Chemical Health & Safety),Safety Culture and Safety Compliance in Academic Laboratories,KB-RECO-0296,https://pubs.acs.org/doi/10.1016/j.jchas.2018.05.002,text/html; charset=UTF-8,5879,
